Series Number,Filename,Description,Gender,UUID,Hash
1,adewale-the-amebo,Adewale always wants to be in everyone's business.,male,cad316c3-37f8-4b27-9f53-9d803bfcfee7,E71B82700FFE4103D1AD92D1F4D92598945A480ABD0526D0110381362F8B3FAC
2,alli-the-queeny,Alli is an LGBT Stan.,male,a57ecda4-a26f-4e97-a757-e1800af39aab,E1ECE1FFACC43C3A856DE6D02185DC046518EE91D7AB934D9AD4051A698046E2
3,aminat-the-snnobish,Aminat never really wants to talk to anyone.,female,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,02E9B48FA830E813FDBA85F7F3C9B6A2E2122BD5556195B38B6D3E529210DAD6
4,aminu-the-carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,4f30b751-96e7-40fe-97fd-e3d44973ff2f,CC58CCBBE5CDDD21A43DC9725920280A02C319C8EE36B9A4F1895C4BCBF412E0
5,chibuike-the-kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,2E5CD9BB363412B684A2B600B481B44C85781D976FC9DAE17E3CEF26D71E5CB5
6,chidinma-the-model,"From Paris' runways, to London's streets, she's always in demand.",female,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,2C2515DAB62937727F059931E64CBB23C220B4F8B1C4B2450C11AA60F78F80A0
7,chioma-pretty- girl,Chioma's face card is a 100.,female,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,1AB4B7688AB80E96C4626A36F8E6CC639CA4A41C4F7ADB2AA78254E7810202F3
8,damilare-the-handsome,He's a fine boy. Everyone loves his face(and him).,male,27eca2dc-d7df-474a-8f8f-1858152c711e,0173484DE80338CA9820C30BD58FF7D5F103D1EB7E9D39E2675F582B01747FEB
9,ebiowie-the-planter,Ebiowei has a reputation for nurturing plants.,male,f1df8270-4d60-4bd4-8959-ba7c384db5c4,CCC0A76A71E4507C7A36C20E9848CD4E0EAD681D75BAB9798FE68D1062304216
10,emeka-the-businessman,Emeka only cares about containers. No time to waste.,male,9b3d75da-4887-4089-aee4-50de3954fdc9,6BB4AD3EF4D1B17FF5D11D0E142A4DAD1A30BB2F14728747FE87019F2073ED9B
11,gbeminyi-the-monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,B819ACA9F1872B50B29ACA04A55EE45CA8CE7A65744A4C641106BA73A209C1B8
12,henry-the-sportsman,He's played every sport known to man. Even cricket.,male,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,25149DC0C48FE50E18291449491DC02428E9EBF86E018B00547469B6B2B747A4
13,mayowa-the-smallie,Mayowa is so small but everyone loves him even still.,male,dfbb4163-df24-4d54-b74c-6218a68df8bd,219E3A694AE8B482E274373E106021EBA20953CEE7EE4A1D770BA10918CC2654
14,muyiwa-the-stylish,Muyiwa has a motto which is never to be caught unfresh.,male,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,E06BC9AEA874F64C8641C523799C941F88E50BC1F6BB07762B4DC874F5E9EDE9
15,nina-paper-chaser,Nina na Igbo girl wey like money. Finish.,female,59524227-dc52-407c-8cca-e9e8c5fb3018,ABB924A69C9C5FC50F87EE8A164528273B0D118562F3E598570A48EF03013D42
16,oluwaseun-spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,808f7007-6552-4efa-bd13-4b7c337b102b,C74D54554BF05F317597444B4532A543853B6E52304D5916DE666158101842FF
17,sesan-the-smartie,Sesan always comes first in competitions.,male,ba3edda7-8940-4ca4-97ba-826398d5909f,3B476F74BBC12CED2CDE94C64BC496F1281EDEE22C7AA20F91486C7331889F65
18,tiwa-london,"If she says she's in London and you see her, you're in London too.",female,78da7aeb-8352-4e25-89ac-dc48b5984089,B9CAD7B34CB93D492D25BF876961EE567174A6F70956D59774329390F649ECFB
19,tunde-yoruba-demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,53b46bd7-a537-402b-b249-0b4074a8faae,854D09E68EB01D88A203C46303B0D3A301F632EE256EAF4406F4C560F30EF3F2
20,yakubu-the-zombie,Yakubu earned his zombie title because na only dust full him head.,male,4adb6781-1614-424e-8f77-fe59ffca2209,4727313C67B7FDD62415E4309A4118677C24DDA85F47D0D067F674D5B84367A5
