TEAM GRIT
Series Number,Filename,Name,Description,Gender,Attribute,UUID,Hash
61,toy-soldier,toy-soldier,a man stronger than an army,male,hair:bald;strengths:powerful;weakness:sentimental,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,2613608ed866f00ebb2c624dbf155f4447b586d0295aa3d295bce87ae974eb75
62,pipey-rivers,pipey-rivers,a man who loves the water so much and fixes its path,male,hair:bald;strengths:calculative;weakness:public speaking,58f69cae-59d1-11ed-9b6a-0242ac120002,d9f884557d4e78c3c590bb13752c3ee939ecf18d6a9bee8a366be51e7fe31d28
63,phiri-of-zambia,phiri-of-zambia,an african woman with strength and beauty,female,hair:two purple bun;strengths:free spirit;weakness:blind,24b537fa-59d3-11ed-9b6a-0242ac120002,9ace340c694128c47534c28d8f5bb41ab50f487a6a770ff34accdb4f20270077
64,patrick-of-bikinibottom,patrick-of-bikinibottom,a white man who loves the African culture and associates with their dressing,male,hair:bald;strengths:adaptation;weakness:fluency,064c7b84-59d3-11ed-9b6a-0242ac120002,8a4c318c8938946eb83dd09f68935778165bdcf3d61f2928f32b2b5856637103
65,nobuhle-of-zulu,nobuhle-of-zulu,a woman well endowed with beauty,female,hair:brown bun;strengths:cool headed;weakness:pressure,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,dc516edec80ac62562f99ecf1d328c3f9a816fec90dc7d48dc75394da0c012bf
66,nkosazana-of-xhosa,nkosazana-of-xhosa,an african princess always proud of her culture,female,hair:ginger afro;strengths:confidence;weakness:endurance,2f1a1724-59d3-11ed-9b6a-0242ac120002,72277f9175e1e7ebd8e3cf518c98b6956834ac25c08e138f00857a16bad7135a
67,mandla-of-zulu,mandla-of-zulu,a simple and an introvert who keeps to himself,male,hair:bald;strength:strong willed;weakness:relationship,d04553b2-59d7-11ed-9b6a-0242ac120002,d83baa8f1d2474339e560c89c055371a0e65b0556b077c83c78c022a7041f1b4
68,john-doe,john-doe,a principled guy who is conscious of his health and ensures protection from infection,male,hair:bald;strength:cleaniness;weakness:perfectionist,5d19795e-59d2-11ed-9b6a-0242ac120002,ac0a86cfb190b672a2641f2955f57caf80c9a9d58f1c130b80983e1978b7e915
69,ghost-of-power,ghost-of-power,a woman stronger than ten men combined,female,hair:black tied with scalf;strength:badass;weakness:cancer,29c764ca-59d3-11ed-9b6a-0242ac120002,dffac035cfebc80ab64172f697c4cc01ae3235dabe10516bda591f53a13fe40e
70,freida,freida,a man who is always peaceful,male,hair:bald;strength:peaceful;weakness:anger,ee671c4a-59d2-11ed-9b6a-0242ac120002,7d37d319a6109d1c9038c74a3e105710ace492aeeeadbfa083510a836ac42ac9
71,flamboyant-tree,flamboyant-tree,beautiful african woman,female,hair:one bun dark brown;strength:beauty;weakness:lover girl,380e4990-59d3-11ed-9b6a-0242ac120002,3f946aa8dc6ae7d129d52ac3e92eef93dcb4c2371f06ddbbbf5b39d91570355d
72,david-of-accra,david-of-accra,a combatant who fights and defends his people,male,hair:bald;strength:super powerful;weakness:sleeping,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,f4407ead8d0587e5d80363f69a43a6a05f763b50595bf117296024cc15181dc4
73,cally-lily,cally-lily,a man who is a breath of fresh air,male,hair:male;strength:calm;weakness:sun,82bba87c-59d1-11ed-9b6a-0242ac120002,dbd7e66708d0ba475169380963bc5dbde070270f73f87c32fcf26c024bd3f3a8
74,bubune-of-accra,bubune-of-accra,a man with honor always conscious of his health,male,hair:bald;strength:clean;weakness:foodie,faa4b530-59d2-11ed-9b6a-0242ac120002,ad3d7e275a2132f706063e0df2d183835a4410ac27ba3448e23c0e0c30a3e2a3
75,bediako-of-accra,bediako-of-accra,a strong man always ready to fight for what is right,male,hair:bald;strength:activist;weakness:irrational,fb6e8222-59d0-11ed-9b6a-0242ac120002,0f98724c63b5f25864cc67a0f5cfa361e213ca878ab08861a46541da7a5f9b07
76,avatar-aang,avatar-aang,a man who is ready to save the world,male,hair:bald;strength:mind games;weakness:insomia,169f93a0-59d2-11ed-9b6a-0242ac120002,955a50f29a53cc5fbff32b1868d12d29361123084d7f7d8421f1938a1a13d547
77,argus-greek,argus-greek,a man who you will always find on the look out ,male,hair:bald;strength:strong;weakness:lateness,e7f26b26-59d2-11ed-9b6a-0242ac120002,8b1c2aecd916712feedaa56203f1313ffcbb3732fd1a74f5e8edcdc72d618e84
78,amahle-of-zulu,amahle-of-zulu,A traditional man feeling fulfilled,male,hair:bald;strength:conversationist;weakness:traditionalist,169f93a0-59d2-11ed-9b6a-0242ac120002,45f55758e6b05c12d7a45fdec859185dbccc2bf07e0f1a1b77fbbf6c7ddb2088
79,agnar-ole,agnar-ole,a man who feels like an outcast and always has a battle with his mind,male,hair:bald;strength:strong willed;weakness:crying,f3f11fd0-59d2-11ed-9b6a-0242ac120002,3a69e216514fe0a655be2a4091582ad8f71fc07697dfadf0ca8b10eb76bd9962
80,adom-kulu,adom-kulu,a Ghanaian model proud of his culture,male,hair:bald;strength:height;weakness:pride,00f6589e-59d3-11ed-9b6a-0242ac120002,939bb79f90aeb557eb750915315d71dde2775081f512b97bc78af52bdd0e7c50
